,SPY,QQQ,TLT,GLD,DBA,BTC-USD
2016-01-01,,,,,,
2016-01-04,,,,,,-0.0028659821868095444
2016-01-05,0.001690119594335527,-0.0017368303976549807,-0.004042535273603836,0.00281458831856644,-0.00638972422754049,-0.002614903893657051
2016-01-06,-0.012694507321704377,-0.009652137332473734,0.01338541278568399,0.014337487598989632,-0.0069274650592404735,-0.006631301754831982
2016-01-07,-0.024284204417384214,-0.03181406260691198,0.0017929094722674763,0.014040676150811138,-0.00398011024883174,0.06527232134918742
2016-01-08,-0.011036931817103291,-0.00823449864355409,0.004468908549228653,-0.0044375394222030354,0.0034836548255932284,-0.010574244034119464
2016-01-11,0.0009895611212619145,0.0030718201922068753,-0.011003852199609053,-0.008934594646018349,-0.015015370994665761,-0.010651593504243833
2016-01-12,0.008035674395567,0.011530952213374208,0.014321581125245444,-0.0050729832368576954,0.00603309715317791,-0.028817166747445385
2016-01-13,-0.025256445625271004,-0.03509770138029058,0.009809045868675917,0.004882048039545079,0.002503383250189669,-0.007646965823602343
2016-01-14,0.01628345986623602,0.02107166374714899,-0.009404466339442943,-0.016367021706295802,-0.0005002643470902448,-0.0047874381276169385
2016-01-15,-0.021700151986019454,-0.03152864938574773,0.01546621917682679,0.01023674024483427,-0.0010011690024784106,-0.1664338052665779
2016-01-18,0.0,0.0,0.0,0.0,0.0,0.060795927793760675
2016-01-19,0.0013304322782038476,0.0021792886416838954,-0.0031062496845299338,-0.0009612465570264486,0.004995188276009843,-0.018295459016986062
2016-01-20,-0.012898197938574132,-0.0030721198673201496,0.01047501479736983,0.013279386437522704,-0.014049420791413842,0.10023896012970848
2016-01-21,0.005586978136077801,0.0009919855064024375,-0.006812538185888853,0.00113814976565955,0.011055458294037692,-0.024006242647881867
2016-01-22,0.020307246247760664,0.028542568294477193,-0.0038213121242459906,-0.004655791285644273,0.0059790981622331344,-0.070088214427767
2016-01-25,-0.015231796344825957,-0.014951674551333186,0.00541073274907615,0.010233193541102439,-0.001491509149908617,0.02385489994923824
2016-01-26,0.013550597228430682,0.008959077115845962,0.00047544610442258145,0.011341913483231932,0.0014915091499086428,0.0010894589086653844
2016-01-27,-0.01094268451132385,-0.02523051182321211,-0.00023801197165105245,0.0037212948296183107,-0.001491509149908617,0.007162729626808593
2016-01-28,0.005195605269128082,0.014018926856010203,0.0014269852828118152,-0.0107362419293496,-0.0034887529079652086,-0.0378833441545607
2016-01-29,0.024084855629325094,0.020667511554350107,0.008441449671539087,0.0038408969118528882,-0.0019988928805145982,-0.002145413118275195
