,SPY,QQQ,TLT,GLD,DBA,BTC-USD
2016-01-01,,,,,,434.3340148925781
2016-01-04,170.37213134765625,101.84555053710938,92.70535278320312,102.88999938964844,17.54429817199707,433.09100341796875
2016-01-05,170.6603240966797,101.66881561279297,92.33134460449219,103.18000030517578,17.432552337646484,431.9599914550781
2016-01-06,168.507568359375,100.69221496582031,93.57554626464844,104.66999816894531,17.312206268310547,429.1050109863281
2016-01-07,164.46478271484375,97.5392074584961,93.74346923828125,106.1500015258789,17.243438720703125,458.0480041503906
2016-01-08,162.65957641601562,96.73931884765625,94.16333770751953,105.68000030517578,17.303613662719727,453.2300109863281
2016-01-11,162.82061767578125,97.03694152832031,93.13285827636719,104.73999786376953,17.045734405517578,448.4280090332031
2016-01-12,164.13426208496094,98.16234588623047,94.47626495361328,104.20999908447266,17.148883819580078,435.69000244140625
2016-01-13,160.0407257080078,94.7768325805664,95.40754699707031,104.72000122070312,17.19186782836914,432.3710021972656
2016-01-14,162.66807556152344,96.79512786865234,94.51449584960938,103.0199966430664,17.183269500732422,430.3059997558594
2016-01-15,159.17617797851562,93.7909164428711,95.98764038085938,104.08000183105469,17.166074752807617,364.33099365234375
2016-01-18,159.17617797851562,93.7909164428711,95.98764038085938,104.08000183105469,17.166074752807617,387.1679992675781
2016-01-19,159.38809204101562,93.99553680419922,95.68994140625,103.9800033569336,17.252037048339844,380.14898681640625
2016-01-20,157.34547424316406,93.70721435546875,96.69756317138672,105.37000274658203,17.011350631713867,420.2300109863281
2016-01-21,158.22702026367188,93.80021667480469,96.04104614257812,105.48999786376953,17.200462341308594,410.2619934082031
2016-01-22,161.4730224609375,96.5160903930664,95.67474365234375,105.0,17.303613662719727,382.49200439453125
2016-01-25,159.03213500976562,95.08374786376953,96.19381713867188,106.08000183105469,17.27782440185547,391.72601318359375
2016-01-26,161.2017822265625,95.93943786621094,96.23956298828125,107.29000091552734,17.303613662719727,392.15301513671875
2016-01-27,159.44741821289062,93.54911804199219,96.21665954589844,107.69000244140625,17.27782440185547,394.97198486328125
2016-01-28,160.2779998779297,94.86981201171875,96.35405731201172,106.54000091552734,17.2176513671875,380.28900146484375
2016-01-29,164.1851348876953,96.85093688964844,97.17086791992188,106.94999694824219,17.183269500732422,379.4739990234375
2016-02-01,164.12579345703125,97.1113510131836,96.87334442138672,108.05000305175781,17.260631561279297,373.0559997558594
2016-02-02,161.16793823242188,95.00933837890625,98.67052459716797,108.08999633789062,17.234844207763672,374.447998046875
2016-02-03,162.13412475585938,94.55360412597656,97.85220336914062,109.25,17.303613662719727,369.9490051269531
2016-02-04,162.3883514404297,94.54429626464844,98.3263931274414,110.56999969482422,17.2176513671875,389.593994140625
2016-02-05,159.2948455810547,91.26104736328125,98.44107818603516,112.31999969482422,17.12309455871582,386.54901123046875
2016-02-08,157.15057373046875,89.86590576171875,100.55951690673828,113.83000183105469,17.00275421142578,373.4469909667969
2016-02-09,157.15899658203125,89.5868911743164,100.66659545898438,113.58000183105469,16.942583084106445,376.02899169921875
2016-02-10,157.02342224121094,89.93101501464844,101.5537338256836,114.45999908447266,16.95117950439453,381.64898681640625
2016-02-11,154.98085021972656,89.80081939697266,102.264892578125,119.05999755859375,16.87381362915039,379.65399169921875
2016-02-12,158.17605590820312,91.16802978515625,100.56718444824219,118.36000061035156,16.933988571166992,384.26300048828125
2016-02-15,158.17605590820312,91.16802978515625,100.56718444824219,118.36000061035156,16.933988571166992,400.18499755859375
2016-02-16,160.84580993652344,93.22354125976562,99.50408935546875,114.7699966430664,17.071521759033203,407.4880065917969
2016-02-17,163.47315979003906,95.33489990234375,98.89231872558594,115.4800033569336,17.114500045776367,416.3219909667969
2016-02-18,162.80360412597656,94.24666595458984,100.10829162597656,118.29000091552734,17.071521759033203,422.37298583984375
2016-02-19,162.72740173339844,94.52570343017578,100.19241333007812,117.58000183105469,17.00275421142578,420.7850036621094
2016-02-22,165.08348083496094,96.06034851074219,100.13890075683594,115.48999786376953,17.140289306640625,437.74798583984375
2016-02-23,162.9986114501953,94.47918701171875,100.54419708251953,117.22000122070312,17.183269500732422,420.7359924316406
2016-02-24,163.7444305419922,95.38136291503906,100.34537506103516,117.61000061035156,17.226247787475586,424.9549865722656
2016-02-25,165.7276611328125,96.3207778930664,100.70481872558594,117.91999816894531,17.200462341308594,424.54400634765625
2016-02-26,165.3462677001953,96.19987487792969,99.73355865478516,117.11000061035156,17.166074752807617,432.1520080566406
2016-02-29,164.049560546875,95.33489990234375,100.16948699951172,118.63999938964844,17.166074752807617,437.6969909667969
2016-03-01,167.90582275390625,98.39490509033203,98.4056625366211,117.7699966430664,17.12309455871582,435.12298583984375
2016-03-02,168.66014099121094,98.43209075927734,98.81173706054688,118.68000030517578,17.17467498779297,423.989013671875
2016-03-03,169.3212127685547,98.24608612060547,99.171875,120.7300033569336,17.303613662719727,421.6510009765625
2016-03-04,169.8720703125,98.28327178955078,98.53589630126953,120.54000091552734,17.501317977905273,410.9389953613281
2016-03-07,170.0076904296875,97.67869567871094,98.50525665283203,121.13999938964844,17.492721557617188,414.3210144042969
2016-03-08,168.15159606933594,96.86954498291016,99.59327697753906,120.58000183105469,17.54429817199707,413.97198486328125
2016-03-09,168.98220825195312,97.4926986694336,98.98796844482422,119.58000183105469,17.561491012573242,414.8599853515625
2016-03-10,169.1177978515625,97.34388732910156,98.58187103271484,121.5,17.72481346130371,417.1310119628906
2016-03-11,171.84689331054688,99.04595184326172,97.5857925415039,119.41000366210938,17.8967342376709,421.69000244140625
